gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,momentum_3w,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price
30676,我們意外的勇氣,1,False,2025-10-02,2025-09-29,2025-11-02,35,5,4,3249101.0,12331.0,812275.25,3082.75,2183741.0,2025-10-20~2025-10-26,79,40.0,0.846,5.857,4.181,-0.584,False,上映中,2025-09-29,2025-11-03 01:45:14,6.622,0.0,1,1,成長中,正常,263.49
30699,此刻的我們,1,False,2025-05-16,2025-05-12,2025-06-15,35,5,5,399573.0,1587.0,79914.6,317.4,165783.0,2025-05-19~2025-05-25,20,11.8,-0.555,-0.647,-0.376,-0.532,False,下檔,2025-05-12,2025-11-03 01:45:14,-0.857,9.06,3,2,衰退,需行動,251.78
30699,此刻的我們,2,True,2025-05-16,2025-09-22,2025-10-12,21,3,3,17400.0,232.0,5800.0,77.33,7875.0,2025-09-29~2025-10-05,1,1.0,0.129,-0.274,-0.182,-0.676,False,下檔,2025-05-12,2025-11-03 01:45:14,-0.634,0.0,1,2,衰退,正常,75.0
30704,造山者－世紀的賭注,1,False,2025-06-13,2025-06-09,2025-11-02,147,21,21,32014228.0,128323.0,1524487.05,6110.62,3858264.0,2025-06-23~2025-06-29,59,27.43,-0.438,-0.221,-0.012,0.173,True,上映中,2025-06-09,2025-11-03 01:45:14,-0.297,0.7,0,7,衰退,正常,249.48
30717,馴龍高手,1,False,2025-06-07,2025-06-02,2025-11-02,154,22,22,131971183.0,438702.0,5998690.14,19941.0,36493327.0,2025-06-16~2025-06-22,95,35.41,6.902,2.211,1.973,-0.962,True,上映中,2025-06-02,2025-11-03 01:45:14,-0.674,9.19,1,3,衰退,需行動,300.82
30738,星際寶貝：史迪奇,1,False,2025-05-22,2025-05-19,2025-10-19,154,22,21,105651491.0,390110.0,5031023.38,18576.67,31225707.0,2025-05-26~2025-06-01,95,35.43,-0.4,-0.39,-0.215,-0.699,True,下檔,2025-05-19,2025-11-03 01:45:14,-0.617,6.53,1,3,衰退,注意,270.82
30739,不可能的任務：最終清算,1,False,2025-05-17,2025-05-12,2025-11-02,175,25,25,453190315.0,1465673.0,18127612.6,58626.92,132919944.0,2025-05-19~2025-05-25,95,41.84,-0.474,-0.394,-0.19,-0.739,True,上映中,2025-05-12,2025-11-03 01:45:14,-0.854,8.32,3,3,衰退,需行動,309.2
30808,滿血復活,1,False,2025-05-27,2025-05-26,2025-08-17,84,12,11,5660743.0,21634.0,514613.0,1966.73,2768630.0,2025-05-26~2025-06-01,82,26.09,-0.369,-0.604,-0.071,-0.673,True,下檔,2025-05-26,2025-11-03 01:45:14,-0.6,6.27,1,2,衰退,注意,261.66
30808,滿血復活,2,True,2025-05-27,2025-10-06,2025-10-26,21,3,2,29603.0,105.0,14801.5,52.5,19160.0,2025-10-20~2025-10-26,1,1.0,0.835,0.0,0.0,0.0,False,上映中,2025-05-26,2025-11-03 01:45:14,0.0,0.0,0,2,穩定,正常,281.93
30809,名偵探柯南 獨眼的殘像,1,False,2025-06-25,2025-06-23,2025-11-02,133,19,19,214891969.0,781441.0,11310103.63,41128.47,71677101.0,2025-06-23~2025-06-29,97,47.0,-0.433,-0.405,-0.133,-0.989,True,上映中,2025-06-23,2025-11-03 01:45:14,-0.994,9.9,2,2,衰退,需行動,274.99
30863,我家妹妹不准嫁,1,False,2025-06-06,2025-06-02,2025-06-29,28,4,4,1303617.0,5179.0,325904.25,1294.75,616591.0,2025-06-02~2025-06-08,22,18.25,-0.751,-0.585,-0.356,-0.73,False,下檔,2025-06-02,2025-11-03 01:45:14,-0.804,8.3,3,2,衰退,需行動,251.71
30864,世界就是這樣結束的,1,False,2025-10-09,2025-10-06,2025-11-02,28,4,4,358553.0,1393.0,89638.25,348.25,187235.0,2025-10-13~2025-10-19,16,10.25,-0.235,-0.562,-0.278,-0.568,False,上映中,2025-10-06,2025-11-03 01:45:14,-0.949,9.18,2,2,衰退,需行動,257.4
30960,28年毀滅倒數,1,False,2025-06-17,2025-06-16,2025-08-17,63,9,9,20715296.0,74776.0,2301699.56,8308.44,12155308.0,2025-06-16~2025-06-22,95,43.78,-0.589,-0.648,-0.577,-0.497,False,下檔,2025-06-16,2025-11-03 01:45:14,-0.817,8.98,8,1,衰退,需行動,277.03
30960,28年毀滅倒數,2,True,2025-06-17,2025-09-15,2025-10-12,28,4,4,114850.0,939.0,28712.5,234.75,51875.0,2025-09-29~2025-10-05,2,1.75,2.213,0.724,0.543,-0.618,False,下檔,2025-06-16,2025-11-03 01:45:14,-0.397,3.74,1,2,衰退,注意,122.31
31027,F1電影,1,False,2025-06-24,2025-06-23,2025-11-02,133,19,19,570415385.0,1754120.0,30021862.37,92322.11,96016586.0,2025-06-30~2025-07-06,95,72.42,0.102,-0.037,-0.257,-0.826,True,上映中,2025-06-23,2025-11-03 01:45:14,-0.861,8.91,17,6,衰退,需行動,325.19
31037,暗影部隊,1,False,2025-10-03,2025-09-29,2025-11-02,35,5,5,1264642.0,5216.0,252928.4,1043.2,700050.0,2025-09-29~2025-10-05,62,31.0,-0.679,-0.847,-0.587,-0.82,False,上映中,2025-09-29,2025-11-03 01:45:14,-0.988,9.98,4,2,衰退,需行動,242.45
31082,地球特派員,1,False,2025-07-02,2025-06-30,2025-11-02,126,18,18,36551647.0,141212.0,2030647.06,7845.11,12229929.0,2025-07-14~2025-07-20,91,31.44,142.587,47.353,10.918,-0.733,True,上映中,2025-06-30,2025-11-03 01:45:14,-0.719,8.78,1,2,衰退,需行動,258.84
31123,侏羅紀世界：重生,1,False,2025-07-01,2025-06-30,2025-11-02,126,18,18,299137668.0,1055815.0,16618759.33,58656.39,109792561.0,2025-06-30~2025-07-06,94,47.17,-0.35,-0.424,-0.279,-0.767,True,上映中,2025-06-30,2025-11-03 01:45:14,-0.825,8.25,3,2,衰退,需行動,283.32
31128,窒友梅根 2.0,1,False,2025-06-27,2025-06-23,2025-08-17,56,8,8,12288830.0,45709.0,1536103.75,5713.62,4992761.0,2025-06-23~2025-06-29,90,43.25,-0.583,-0.622,-0.489,-0.396,False,下檔,2025-06-23,2025-11-03 01:45:14,-0.798,8.68,7,2,衰退,需行動,268.85
31128,窒友梅根 2.0,2,True,2025-06-27,2025-09-08,2025-10-12,35,5,5,87265.0,808.0,17453.0,161.6,40305.0,2025-09-15~2025-09-21,2,1.4,1.259,0.025,-0.12,-0.675,False,下檔,2025-06-23,2025-11-03 01:45:14,-0.903,9.1,3,2,衰退,需行動,108.0
31158,黑白線人,1,False,2025-09-05,2025-09-01,2025-10-05,35,5,5,1129371.0,4286.0,225874.2,857.2,503703.0,2025-09-08~2025-09-14,38,23.6,-0.538,-0.715,-0.481,-0.876,False,下檔,2025-09-01,2025-11-03 01:45:14,-0.986,9.91,3,2,衰退,需行動,263.5
